Transaction_ID,Date,Category,Unit_Price,Quantity
TXN-1001,2026-09-14,Home,177.9,4
TXN-1002,2026-08-29,Home,329.64,4
TXN-1003,2026-08-29,Home,119.3,2
TXN-1004,2026-08-21,Toys,445.81,4
TXN-1005,2026-08-24,Electronics,385.02,5
TXN-1006,2026-08-31,Toys,213.18,5
TXN-1007,2026-09-09,Toys,457.22,2
TXN-1008,2026-09-02,Home,125.83,1
TXN-1009,2026-09-11,Toys,301.96,2
TXN-1010,2026-08-23,Electronics,394.09,3
TXN-1011,2026-08-18,Toys,246.74,3
TXN-1012,2026-08-23,Clothing,121.19,5
TXN-1013,2026-09-07,Clothing,236.34,3
TXN-1014,2026-08-15,Clothing,149.36,4
TXN-1015,2026-08-20,Home,496.96,5
TXN-1016,2026-09-03,Clothing,344.23,5
TXN-1017,2026-08-20,Home,449.91,3
TXN-1018,2026-09-07,Home,35.69,5
TXN-1019,2026-08-18,Clothing,35.61,1
TXN-1020,2026-08-29,Toys,324.61,5
TXN-1021,2026-09-12,Toys,449.29,5
TXN-1022,2026-09-12,Clothing,357.4,2
TXN-1023,2026-08-18,Toys,493.67,3
TXN-1024,2026-08-24,Clothing,384.14,3
TXN-1025,2026-09-02,Toys,97.92,2
TXN-1026,2026-08-27,Toys,363.92,2
TXN-1027,2026-09-07,Toys,207.9,3
TXN-1028,2026-08-26,Clothing,344.22,3
TXN-1029,2026-09-10,Home,49.83,5
TXN-1030,2026-09-12,Toys,346.02,3
TXN-1031,2026-09-12,Clothing,382.04,3
TXN-1032,2026-09-01,Toys,285.22,3
TXN-1033,2026-08-24,Home,485.95,3
TXN-1034,2026-09-02,Clothing,211.48,1
TXN-1035,2026-08-25,Electronics,324.59,4
TXN-1036,2026-08-27,Home,387.81,1
TXN-1037,2026-09-12,Toys,456.79,4
TXN-1038,2026-08-28,Electronics,340.79,2
TXN-1039,2026-09-06,Home,36.12,4
TXN-1040,2026-09-08,Clothing,100.71,4
TXN-1041,2026-08-26,Home,283.74,2
TXN-1042,2026-08-19,Clothing,432.35,2
TXN-1043,2026-08-31,Toys,346.65,3
TXN-1044,2026-09-12,Electronics,221.02,1
TXN-1045,2026-09-11,Home,454.12,3
TXN-1046,2026-08-31,Home,193.03,2
TXN-1047,2026-09-10,Home,460.63,3
TXN-1048,2026-09-06,Toys,373.15,4
TXN-1049,2026-08-20,Home,38.58,3
TXN-1050,2026-08-25,Clothing,169.5,1
TXN-1051,2026-09-12,Home,424.56,2
TXN-1052,2026-08-25,Clothing,434.29,3
TXN-1053,2026-08-29,Toys,217.67,4
TXN-1054,2026-08-16,Electronics,320.37,2
TXN-1055,2026-08-16,Electronics,337.92,5
TXN-1056,2026-08-19,Electronics,350.9,5
TXN-1057,2026-09-06,Toys,64.39,2
TXN-1058,2026-09-01,Clothing,126.45,5
TXN-1059,2026-09-08,Clothing,469.91,2
TXN-1060,2026-08-28,Home,296.91,4
TXN-1061,2026-09-08,Toys,388.3,4
TXN-1062,2026-08-23,Toys,431.95,5
TXN-1063,2026-08-19,Toys,326.75,4
TXN-1064,2026-08-27,Clothing,249.57,5
TXN-1065,2026-09-04,Home,374.36,2
TXN-1066,2026-08-20,Clothing,268.45,2
TXN-1067,2026-08-15,Electronics,403.24,1
TXN-1068,2026-08-15,Home,390.84,4
TXN-1069,2026-09-09,Home,454.69,3
TXN-1070,2026-08-31,Electronics,310.93,1
TXN-1071,2026-08-18,Electronics,388.27,3
TXN-1072,2026-08-27,Clothing,65.98,2
TXN-1073,2026-08-30,Toys,451.18,3
TXN-1074,2026-09-04,Toys,288.69,2
TXN-1075,2026-09-14,Home,466.99,3
TXN-1076,2026-08-15,Toys,349.07,4
TXN-1077,2026-08-17,Home,150.23,4
TXN-1078,2026-09-11,Clothing,438.4,3
TXN-1079,2026-09-07,Toys,252.11,5
TXN-1080,2026-09-01,Toys,81.19,2
TXN-1081,2026-08-21,Home,397.55,3
TXN-1082,2026-09-07,Toys,152.81,5
TXN-1083,2026-08-20,Clothing,50.91,2
TXN-1084,2026-09-06,Home,247.29,1
TXN-1085,2026-08-27,Electronics,46.49,1
TXN-1086,2026-09-13,Electronics,323.53,4
TXN-1087,2026-09-03,Clothing,342.58,3
TXN-1088,2026-08-23,Home,15.49,4
TXN-1089,2026-08-16,Home,332.36,1
TXN-1090,2026-09-11,Home,459.37,4
TXN-1091,2026-09-04,Clothing,126.13,2
TXN-1092,2026-09-01,Toys,64.43,5
TXN-1093,2026-08-25,Electronics,434.6,3
TXN-1094,2026-08-25,Clothing,295.76,5
TXN-1095,2026-09-05,Electronics,142.41,4
TXN-1096,2026-09-07,Clothing,396.98,5
TXN-1097,2026-09-08,Clothing,139.42,4
TXN-1098,2026-08-22,Toys,416.98,3
TXN-1099,2026-08-20,Clothing,361.94,5
